state_name,state_cd,fips,first_tmsis_submission,year,data_source
Alaska,AK,02,2013-10-01,2010,MAX
Alaska,AK,02,2013-10-01,2011,MAX
Alaska,AK,02,2013-10-01,2012,MAX
Alaska,AK,02,2013-10-01,2013,MAX-T
Alaska,AK,02,2013-10-01,2014,TAF
Alaska,AK,02,2013-10-01,2015,TAF
Alaska,AK,02,2013-10-01,2016,TAF
Alaska,AK,02,2013-10-01,2017,TAF
Alaska,AK,02,2013-10-01,2018,TAF
Alaska,AK,02,2013-10-01,2019,TAF
Alaska,AK,02,2013-10-01,2020,TAF
Alaska,AK,02,2013-10-01,2021,TAF
Alaska,AK,02,2013-10-01,2022,TAF
Alaska,AK,02,2013-10-01,2023,TAF
Alabama,AL,01,2014-01-01,2010,MAX
Alabama,AL,01,2014-01-01,2011,MAX
Alabama,AL,01,2014-01-01,2012,MAX
Alabama,AL,01,2014-01-01,2013,MAX-T
Alabama,AL,01,2014-01-01,2014,TAF
Alabama,AL,01,2014-01-01,2015,TAF
Alabama,AL,01,2014-01-01,2016,TAF
Alabama,AL,01,2014-01-01,2017,TAF
Alabama,AL,01,2014-01-01,2018,TAF
Alabama,AL,01,2014-01-01,2019,TAF
Alabama,AL,01,2014-01-01,2020,TAF
Alabama,AL,01,2014-01-01,2021,TAF
Alabama,AL,01,2014-01-01,2022,TAF
Alabama,AL,01,2014-01-01,2023,TAF
Arkansas,AR,05,2015-04-01,2010,MAX
Arkansas,AR,05,2015-04-01,2011,MAX
Arkansas,AR,05,2015-04-01,2012,MAX
Arkansas,AR,05,2015-04-01,2013,MAX
Arkansas,AR,05,2015-04-01,2014,MAX-T
Arkansas,AR,05,2015-04-01,2015,MAX-T
Arkansas,AR,05,2015-04-01,2016,TAF
Arkansas,AR,05,2015-04-01,2017,TAF
Arkansas,AR,05,2015-04-01,2018,TAF
Arkansas,AR,05,2015-04-01,2019,TAF
Arkansas,AR,05,2015-04-01,2020,TAF
Arkansas,AR,05,2015-04-01,2021,TAF
Arkansas,AR,05,2015-04-01,2022,TAF
Arkansas,AR,05,2015-04-01,2023,TAF
Arizona,AZ,04,2014-10-01,2010,MAX
Arizona,AZ,04,2014-10-01,2011,MAX
Arizona,AZ,04,2014-10-01,2012,MAX
Arizona,AZ,04,2014-10-01,2013,MAX
Arizona,AZ,04,2014-10-01,2014,MAX-T
Arizona,AZ,04,2014-10-01,2015,TAF
Arizona,AZ,04,2014-10-01,2016,TAF
Arizona,AZ,04,2014-10-01,2017,TAF
Arizona,AZ,04,2014-10-01,2018,TAF
Arizona,AZ,04,2014-10-01,2019,TAF
Arizona,AZ,04,2014-10-01,2020,TAF
Arizona,AZ,04,2014-10-01,2021,TAF
Arizona,AZ,04,2014-10-01,2022,TAF
Arizona,AZ,04,2014-10-01,2023,TAF
California,CA,06,2015-10-01,2010,MAX
California,CA,06,2015-10-01,2011,MAX
California,CA,06,2015-10-01,2012,MAX
California,CA,06,2015-10-01,2013,MAX
California,CA,06,2015-10-01,2014,MAX
California,CA,06,2015-10-01,2015,MAX-T
California,CA,06,2015-10-01,2016,TAF
California,CA,06,2015-10-01,2017,TAF
California,CA,06,2015-10-01,2018,TAF
California,CA,06,2015-10-01,2019,TAF
California,CA,06,2015-10-01,2020,TAF
California,CA,06,2015-10-01,2021,TAF
California,CA,06,2015-10-01,2022,TAF
California,CA,06,2015-10-01,2023,TAF
Colorado,CO,08,2011-10-01,2010,MAX
Colorado,CO,08,2011-10-01,2011,MAX-T
Colorado,CO,08,2011-10-01,2012,MAX-T
Colorado,CO,08,2011-10-01,2013,MAX-T
Colorado,CO,08,2011-10-01,2014,TAF
Colorado,CO,08,2011-10-01,2015,TAF
Colorado,CO,08,2011-10-01,2016,TAF
Colorado,CO,08,2011-10-01,2017,TAF
Colorado,CO,08,2011-10-01,2018,TAF
Colorado,CO,08,2011-10-01,2019,TAF
